X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-81.195009079,42.779235945,1,172382629,4120276,Pharmacy,RP,St Thomas Medical Pharmacy, , , ,475 Talbot Street, , ,St. Thomas,N5P1C1,20220428140105,20220426153448
-80.098996437,43.9299713,2,172379313,3800,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,LifeLabs LP, ,LifeLabs, ,95 First Street, , ,Orangeville,L9W2E8,20220428140025,20220426161416
-79.5437913439999,43.7520780950001,3,172387403,9000000197,Senior Active Living Centre, ,Elspeth Heyworth Centre for Women (North York),Elspeth Heyworth Centre for Women (North York), , ,2350 Finch Avenue West,"Unit D, 2350, avenue Finch Ouest", ,Toronto,M9M2C7,20220428135915,20220428132137
-79.716236851,44.3288110870001,4,172384809,7185994,Pharmacy,RP,Shoppers Drug Mart #1464, , , ,380 Mapleview Drive West, , ,Barrie,L4N9G4,20220428135942,20220426154144
-79.488755724,43.723780393,5,172383830,5947595,Pharmacy,RP,Rexall #8168, , , ,1235 Wilson Avenue, , ,Toronto,M3M0B2,20220428135925,20220426153847
-81.337185829,48.474955068,6,172379428,4277,Laboratory - Hospital,Public Health Laboratory (Agency) - Regional PHL,Ontario Agency for Health Protection and Promotion, ,Ontario Agency for Health Protection and Promotion - Timmins Public Health Laboratory, ,67 Wilson Avenue, , ,Timmins,P4N2S5,20220428140100,20220428095440
-79.276770459,43.7507641070001,7,172385767,8298193,Pharmacy,RP,Kennedy Lawrence Pharmacy, , , ,2300 Lawrence Avenue East,Unit 6, ,Toronto,M1P2R2,20220428140017,20220426154443
-79.390668999,43.7934039090001,8,172385896,8430218,Pharmacy,LTCF,Extendicare/bayview Villa, , , ,550 Cummer Avenue, , ,Toronto,M2K2M2,20220428135958,20220426154500
-79.346027577,43.7057952960001,9,172381727,2088396,Pharmacy,RP,Shoppers Drug Mart #871, , , ,45 Overlea Boulevard, , ,Toronto,M4H1C3,20220428140029,20220426153247
-78.284737858,43.9492827870001,10,172385290,7735114,Pharmacy,RP,Peter Street Pharmacy, , , ,97 Peter Street, , ,Port Hope,L1A1C5,20220428140034,20220426154315
-81.287798123,42.94325747,11,172385679,8189836,Pharmacy,RP,Wellness Pharmacy, , , ,925 Wonderland, , ,London,N6K3R5,20220428135913,20220426154424
-82.900846766,42.3090011780001,12,172384439,6750857,Pharmacy,LTCF,"Versa-Care Place, Tecumseh", , , ,1400 Banwell Road, , ,Tecumseh,N8N2M4,20220428140014,20220426154024
-79.843110695,43.248347992,13,172377533,9000000012,Aboriginal Health Access Centre,Site,De dwa da dehs nye>s Aboriginal Health Centre, , , ,678 Main Street East, , ,Hamilton,L8M1K2,20220428140057,20220426152200
-79.448193541,44.062528453,14,172384151,6365578,Pharmacy,AS,Newmarket Allergy Service, , , ,713 Davis Drive,Suite 301, ,Newmarket,L3Y2R3,20220428135956,20220426153945
-80.144123059,42.8916600150001,15,172380012,247,Mental Health and Addiction Organization,Mental Health Services,Haldimand-Norfolk REACH, , , ,101 Nanticoke Creek Parkway,Unit A,Administration and Practice Location,Townsend,N0A1S0,20220428140026,20220426152818
-75.671141726,45.3835811500001,16,172383066,4827478,Pharmacy,RP,Med Rx Altabank Pharmacy, , , ,1405 Bank Street,Unit A, ,Ottawa,K1H8N1,20220428135924,20220426153558
-79.884413916,43.3409895070001,17,172383475,5435594,Pharmacy,RP,East Waterdown Pharmacy, , , ,419 Dundas Street East,Unit 11, ,Hamilton,L8B0K4,20220428140031,20220426153737
-82.361060563,43.0005919270001,18,172378059,8597363,Independent Health Facility,"Sleep Stud, PF - Screen, PF - Lung Vol & Diff",Bluewater Sleep Disorder Clinic, ,1317563 Ontario Inc., ,1258 Michigan Avenue, ,Practice Location,Sarnia,N7S3Y2,20220428135903,20220426152332
-76.566932225,44.2353007130001,19,172382796,4395470,Pharmacy,RP,Gardiners Pharmasave, , , ,500 Gardiners Road,Unit 9B, ,Kingston,K7M7W9,20220428140012,20220426153511
-79.67055927,43.592588461,20,172386823,T0165,Retirement Home, ,Evergreen Retirement Residence, , , ,820 Scollard Court, , ,Mississauga,L5V0A1,20220428140054,20220426154720
-76.3530340569999,45.4411745300001,21,172387627,599,Community Support Service,Site,Arnprior & District Memorial Hospital(THE), ,ARNPRIOR & District Memorial, ,350 John Street North, , ,Arnprior,K7S2P6,20220428135945,20220428113034
-79.265977283,42.905930858,22,172385412,7897038,Pharmacy,RP,Northland Pharmacy, , , ,287 West Side Road,Unit 175, ,Port Colborne,L3K5L2,20220428140052,20220426154336
-79.409091492,43.655944784,23,172379583,2748,Mental Health and Addiction Organization,Mental Health Services,"Barbra Schlifer Commemorative Clinic, The", , , ,489 College Street,Suite 503,Administration and Practice Location,Toronto,M6G1A5,20220428140025,20220426152721
-93.827242547,51.0193844410001,24,172379945,5849,Mental Health and Addiction Organization,Mental Health Services,Firefly, , , ,201 Howey Street, ,Practice Location,Red Lake,P0V2M0,20220428135905,20220426152809
-79.8452401769999,44.1586425510001,25,172381065,540294,Pharmacy,LTCF,Good Samaritan Nursing Home, , , ,481 Victoria Street East,Postal Office Box 639, ,New Tecumseth,L0M1A0,20220428140009,20220426153118
-79.545064839,43.6958712850001,26,172378893,3847,Laboratory - Specimen Collection Centre,Specimen Collection Centre - Private SCC,Alpha Laboratories Incorporated, ,Alpha Laboratories Incorporated, ,245 Dixon Road, , ,Toronto,M9P2M1,20220428135948,20220428101900
-89.214650658,48.442504167,27,172377537,9000000002,Indigenous Interprofessional Primary Care Teams,Site,Matawa Health Cooperative, , , ,233 South Court Street, , ,Thunder Bay,P7B2X9,20220428135931,20220426152202
